,reviews_classified
196,ha meses de tempos em tempos perco algumas horas tentando acessar a minha conta corrente e visualizar o extrato ate o presente momento nao tive resultado site horrivel
197,so funciona se tiver acesso completo ao aparelho dispensavel
198,agente faz o cadastramento do usuario quando volta pra acessa nao entra fica dizendo erro no longe do usuario tente mais tarde ir você pode tenta quantas vezes quiser nao entra
199,a tempos que cadastro minha senha para poder usar outros servicos mas nao consigo faco no caixa pela agencia porem ao efetuar no celular nunca esta disponivel demais tudo bem
200,palhacada de aplicativo toda vez fica pedindo para eu me cadastrar de novo mesmo eu nao colocando a senha errada e e uma burocracia para cadastrar de novo se desse eu colocaria 0 estrela
201,perfeito super pratico os acessos as informacoesfacilitando muito no dia a dia
202,facil acessar
203,e bom so que a cada seis meses pede pra trocar nome de usuario e senha e aquela mensagem dispositivo sem cadastro toda hora que entro nao quero fazer cadastro nao se eu quisesse eu ja tinha feito
204,alguem consegue me explicar como um banco consegue ter um aplicativo tao pessimo e horripilante assim slk conectado na internet com acesso tudo tranquilo nao consigo entrar na minha conta aparece uma mensagem dizendo que estou sem internet pelo amor de deus galera embora acordar pra vida
205,o que tem de melhorar e que ao fazer um ted ou doc ou pix nao aparece o saldo na conta corrente falha grave quando faz uma operacao o saldo nao atualiza falha grave ta melhorando mais ainda nao mostra o saldo ainda ta pecando pelo saldo da conta que nao atualiza como deveria fez uma operacao atualiza fez outra atualiza do jeito que ta esta com problema na hora de colocar senha ja vem pre preenchida ta errado tem de vir pra fazer o preenchimentovalidacao de boleto tambem tem erro
206,facil de usar e facilita para extrato transferir e pix de casa se tiver duvidas so ir na agencia cadastrar a senha as vezes sai do ar para manutencao ai aquele dia nao da para usar mas e so ir na agencia
207,nao esta funcionando e bloqueio o acesso
208,aplicativo pessimo faz tudo e nao resolve nada tem de ter varios outros apps da caixa sempre tenho problemas devido as inumeras senhas que pedem
209,horrivel esse apptem que pagar contas urgentes e mandar pix mas vive falhando e dando erro de senha
210,do nada nao consigo mais acessar minha conta aplicativo ta ruim
211,aplicativo simples porem eficaz informacoes e acessos de facil acesso
212,aplicativo pessimo toda a vez que troca o celular tem que ir a agencia trocar a maldita senha pra fazer transferencias e um saco deviam colocar todas as contas da caixa no caixa tem
213,aplicativo ruim você estala coloca uma senha e toda hora tem que mudar de conta porque nao entra na primeira conta que fiz pessimo
214,tem dias que nao abre sempre me faz ter que cadastrar outra senha nao entendo o motivo vive me bloqueando
215,o aplicativo simplesmente nao abre eu sei o login e a senha e nao abre por nada
216,nao consigo logar no aplicativo da erro de usuario e senha nao reconhece a biometria
217,estou tentando acessar o aplicativo desde o dia 070522 e todas as tentativas sao frustradas aplicativo esta horrivel
218,facil acesso
219,eu nao consigo preencher o cadastro por que pede uma senha e eu coloco e nao funciona
220,embora em algumas vezes sempre tenho que cadastrar tudo de novo quando fico algum tempo sem acessar parece que agora nao estou tendo esse problema
221,pessimo aplicativo banco engessado um trabalho do caramba pra ativar o celular pra pagar conta e o aplicativo ainda fica travando e nao funciona roubaram meu celular e ja nao bastasse esse estresse a caixa tem o pior atendimento pra cancelar acesso do dispositivo espero que pra conseguirem acessar minha conta seja tao dificil tao impossivel como eu que nao consegui deslogar o acesso depois de 4hs esperando atendimento por telefone ainda por cima em pleno 2022 e nao conseguindo nada depois de atendida parabens vcs sao os piores
222,quero saber como eu vou a um caixa eletronico estando fora do brasil desbloquear uma senha eletronica no meu aparelho que ja estava cadastrado sinceramente o aplicativo esta deixando a desejar agora estou impossibilitado de movimentar minha conta
223,o pior aplicativo de bancos do mundo minha esposa e eu estamos a mais de 8 meses reclamando que o aplicativo nao funciona efetuamos inumeras atualizacoes simplesmente nao conseguimos acesso aconselho a jamais utilizarem a caixa ja efetuei inumeros contatos com o suporte anexei inclusive imagens do aplicativo e do internet banking demonstrando a impossibilidade do acesso infelizmente o problema persiste por mais de 6 meses
224,queria entender com tanta tecnologia e o aplicativo de vcs nao pode simplesmente validar o uso do aplicativo por reconhecimento facial tive um imprevisto estou numa localidade longe e nao tenho acesso a conta pela burocracia de vcs sinceramente viu
225,infelizmente o aplicativo e ultra obsoleto tanto no seu visual quanto na funcionalidade as funcoes nao estao organizadas de forma clara e intuitiva o que deixa o aplicativo com um visual muito poluido e nada intuitivo extra isto ainda tem o constante bloqueio de usuario e senha fazendo necessario a criacao contante de novo usuario e senha vamos melhorar este aplicativo caixa
226,tem dias que nao consigo acessar minha conta 🤦🤦
227,muito ruim pois praticamente todo mes tem que ficar indo ate a agencia pegar fica para desbloquear a senha eletronica que bloqueia sempre tanto que parei ate de usar o aplicativo
228,ele perde as configuracoes e você tem que ficar trocando usuario e senha direto
229,o aplicativo ate que e bomacho ruim so pra cadastrar senha eletronica do pixdeveria resolver no aplicativo sem precisar ir na agenciatirando isso tudo certo
230,excelente aplicativo de facil acesso e operacional
231,por favor alguem pode me ajudar faz um mes que nao consigo acessar minha conta so da erro 02 20 e quando tento fazer um novo usuario ficar aparecendo erro 403 eu ja liguei na central e nao resolvem e ja desistalei o aplicativo e nada por favor preciso usar o aplicativo e essa nao e a primeira vez que isso acontece
232,muito bom o aplicativo so me estresso as vezes sobre a senha eletronica quero mudar porque esqueci e nao posso dar senha bloqueada sei que e uma seguranca mais se e a pessoa que estar usando concerteza quer mudar porque esqueci
233,voces para mim sao asquerosos e repugnantes tenho nojo de preguicosos e e o que voces sao maltratam a populacao nas agencias abarrotadas e sem acomodacao para todos que ficam la 234 horas ontem 26042022 estive na agencia 1502 da clsw 504 sudoeste e informo ao preposto que veio aqui responder que voce deveria ir a esta agencia e ver o tamanho da arrogancia e preguica dos seus colegas que la fingem trabalhar cheguei la as 1115 e sai as 1330para encerrar uma miseravel conta poupanca voces nao respeitam a lei distrital 2547 de 2000 que estipula 30 minutos de permanencia maxima na fila em dias de pico e 20 minutos em dias normaise ainda tem aquelas portas giratorias para causar mais contrangimentos ao cidadao voce preposto deveria conhecer a lei 13294 de 2016 que fala que voces tem 10 dias a partir do encerramento para emitir a carta de quitacao e eu ja o fiz no inicio deste mes jamais voltarei a uma agencia maldita desta caixa prefiro morrer de cancer retal a conversar ou ter qualquer relacionamento com gente ruim e preguicosa cara vem aqui conhece a lei e nao dispensa ao cidadao os documentos que ele pede por isto nao devo respeito a caixa economica federal pois prevarica e age com desidia desobedecendo duas leis uma distrital outra federal a carta de quitacao de debitos nao se confunde com as informacoes do registrato do banco centraltanto e que enviei 4 exemplos dela do c6bankpagbank citi e digioe para acessar as informacoes do registrato eu mesmo faco por minha conta e meios a carta de quitacao de debitos nao e um favor nem uma liberalidade que o banco faz e sim uma obrigacao hoje 27042022 de manha estive na caixa setor bancario sul quadra 01blocol e iria ao 11°andar na ouvidoria mas quando la cheguei na recepcao fui informado que nao ha atendimento fisico outra vergonhanas agencias um atendimento moroso para procrastinar situacoes e judiar do cidadao e na ouvidoria ficam escondidos respondendo emails de forma automatica como robos sem me trazer solucao alguma vergonha alehia eu tenho de voces pode encerrar ogao gestor senacon eu vou fazer essa demanda no procondf e aguardar a outra demanda no banco central meu tempo e preciso para perder tempo com os preguicosos e desobedientes da lei da caixa economica federal uma vergonhaum fiascoum farrapo de banco que presta desservicos a populacao principalmente aos humildes que desconhecem as leis do consumidor e nao conhecem ainda esta plataforma consumidorgovbr se ainda sim o banco central e o procondf nao conseguirem me ajudar irei ao tribunal regional federal contra este banco horroroso nao temo ninguem pois quem tem a verdade dorme tranquilo e nao o sono dos preguicosos apostolo paulo ja dizia “quem nao quer trabalhar que nao coma”1” sem mais
234,e pratico de usar porem muitas vezes tenho dificuldade de acesso devido ficar fora do ar quando tento acessar diz que nao foi possivel e manda tentar mais tarde
235,ganhei um novo celular do meu namorado e desinstalei o aplicativo do outro aparelho agora nao consigo ter acesso com esse novo dispositivo
236,pessimo aplicativo a caixa ja deveria estar mergulhada na era digital eu esqueci minha senha liguei para o sac e pediram pra ir a uma agencia fiquei 6 horas na fila e descobri que minha senha tava bloqueada fiz o suposto desbloqueio e ao acessar o aplicativo a senha nao funcionou no aplicativo nao ha opcao alguma para recuperar a senha ou fazer outra senha inadmissivel ter que faltar trabalho para desbloquear uma senha que deveria ser feito pelo proprio aplicativo vcs estao com nota zero horrivel
237,poderia melhorar varias vezes me deixou na mao pois o pix nao funciona ou porque do nada meu acesso por digital desaparece
238,aplicativo esta horrivel nao consigo acessar a dias
239,pessimo nao tenho mais acesso a minha conta fica mandando ir num caixa eletronico para atualizar o aplicativo eu vou coloco o cartao e nao resolve nada isso e uma palhacada
240,cheio de falhas 2 meses que nao consigo acessar minha conta com esse aplicativo
241,toda hora da senha errada sendo que uso a mesma senha sempre depois das ultima atualizacoes nao consigo mais acessar o aplicativo ficou muito ruim esse aplicativo
242,nao consigo acessar minha conta
243,o aplicativo esta horrivel nao consigo acessar minha conta ta pessimo
244,o aplicativo esta ha dias sem acesso ao menu habitacao quando clico para entrar aparece a mensagem servico temporiamente indisponivel
245,nao consigo acessar o aplicativo ao tentar fazer loguin aparece uma mensagem com o codigo 02 22 ja desinstalei e instalei novamente alem de fazer todos os outros procedimentos disponiveis no site da cef isso aconteceu apos a ultima atualizacao
246,horrivel dificil de redefinir nova senha eletronica
247,pessima nao consigo acessar a conta 🤮🤮
248,nao consigo mais acessar a conta
249,apos a atualizacao nao e mais possivel acessar a conta da erro tzb12
250,devez enquanto sai do ar dificil acessar
251,o aplicativo esta com problemas para acessar
252,tem um acesso muito bom
253,nao consigo acessar o aplicativo
254,faz tempo que o aplicativo caixa foi destalado agora estalei de novo coloco os mesmo dados e senha mais não ta dando certo porque
255,aplicativo proveitoso porem o pix tem trazido alguns transtornos com o bloqueio da senha sem justificativa plausivel
256,de facil acesso para as minhas neceasidades
257,otimo porem com algumas inconsistencia no acessar com biometriaestava assim a alguns dias atras agora melhorou
258,nao e confiavel se fosse nao pediria toda semana para cadastrar usuario e senha e agora querem que a gente vai ate o caixa cadastrar o celular um lixo desinstalar e trocar de banco
259,muito pratico e funcional agil no acesso
260,dei apenas 1 estrela pois se voce fica mais de 1 semana sem usar aparece usuario bloqueado sem contar que as vezes nao entre de primeira da erro e na segunda ou terceira tentativa voce consegue acesso poderiam verificar esses bugs sem contar que se consegue contratar credito direto pelo aplicativo se nao da porque tem a opcao entao
261,otimo p acesso remoto
262,e de grande necessidade para informativos outros fatores e complicado tem ir no banco dificuldades em filas e senha
263,nao consigo acessar o aplicativo
264,estou tendo um problema com o cadastro de apelido para o disposio celular depois de uma atualizacao que teve nao consegui ter acesso ao mesmo pois nao sai da tela do apelido ja deixei mais de horas na tela e nao avanca se alguem conseguir me ajudar eu agradeco
265,rapidez facil acesso
266,nao funciona esta pessimo toda vezes gue abro meu pixvem dizendo usuario nao encontraja estou cansadas de fazer senha
267,nao sei o que esta acontecendo fui acesar com a minha senha deu errado e o aplicativo mostra que ta atualizado mas nao esta nao consigo mais acessar minha conta o aplicativo deu uma melhorada
268,nao consigo acessar meu aplicativo
269,ja foi bom agora esta pedindo para ir na agencia para liberar o acesso ao aplicativo nao compensa ir pegar aquela fila toda vez que o aplicativo atualizar
270,nao consigo cadastrar usuario e senha
271,bom mais acesso com digital nao funciona problema resolvido
272,aplicativo muito bom porem agora para ver ate o saldo tem que liberar o acesso no caixa eletronico isso nao e nada pratico se eu quisesse e pudesse ir naquele momento no caixa eletronico eu ia e nao tentava nada pelo aplicativo ne falta praticidade
273,pessima a atualizacao pede sempre para ir ao banco para atualizar a senha nao completa o acesso no aplicativo pela internet
274,otima navegacao facil acesso
275,sempre se pode melhorar poderia ter como repetir as apostas quando ha um erro de digitacao na senha poderia poder corrigir e efetivar o pgto da conta sem precisar redigitar todos os dadosmas e um aplicativo muito eficiente mais uma coisa se tudo se pode fazer de forma digital porque nao se pode consultar de de 3 5 anos atras ter que ir a agencia pleitear isso e um retrocesso em algo que esta funcionando tao bempor favor revejam isso fora os assuntos relacionados a seguranca desnecessario
276,nubank nubank de aniversario eu queria so que voces melhorassem a seguranca do aplicativo tipo colocar a possibilidade de eu entrar no aplicativo com uma senha diferente da senha de desbloqueio do celular sera que rola
277,ipurq ingridsilva nubank isso e responsabilidade do cliente que por falta de atencao faz essas burrices a pessoa entra na conta digitando a senha ou digital e faz todo o processo de livre e espontanea vontade isso nao e falha de seguranca do aplicativo e falta de atencao do cliente
278,ingridsilva nubank você acessou sua conta fez um pix pra outra pessoa e espera que o nubank simplesmente estorne pra você o valor nao e assim que funciona infelizmente... nao foi um caso de clonagemroubo acho que faltou atencao da sua parte viu... com tantos casos de golpe e importante verificar
279,os apps de bancos sao ridiculamente inseguros que e pra facilitar o acesso quanto mais simplificado o acesso mais a probabilidade de você utilizar servicos do bancos se der algum bo você for roubado ou cair em algum golpe o problema e seu nubank bancointer itau santanderbr
280,e eu que desativei o toutch id e fiquei so cm a senha numerica por medo do golpe do nubank dai quebrei meu celular e não consigo mais por um numero da senha numerica e to sem toutch pra conseguir desbloquear o celular 🤡🤡🤡
281,“cai num golpe nubank devolve meu dinheiro” ai gente as vezes voces forcam tambem ne kkkkkkkkkkkk minha nossa senhora
282,eu posso estar na paranoia do golpe do nubank mas tenho certeza que os caras do meu lado acabaram de roubar um celular e tao tentando acessar os aplicativo de banco tudo
283,o do cara que teve o celular roubado e os dados violados sem nenhuma explicacao tem sentido cobrar o nubank um respaldo agora a menina caiu no golpe do zapzipzop e quer ter o estorno de um pix que ela fez digitando a senha dela
284,esses relatos de nubank golpe do pix daqui a pouco o nubank vai fazer um teste de qi pra pessoa poder acessar a propria conta
285,eu achei que nunca teria de fazer esse alerta mas ca estou eu cai em um golpe bancario gastei todo o dinheiro que havia na minha conta e o banco nao repos nadinha pior que os criminosos nem tiveram acesso ao meu smartphone me ajuda nubank bebê santander bradesco caixa itau
286,semana passada ai meu deus roubo de celular thread do nubank vou so usar cheque que absurdo hoje ah entao a minha senha do celular e o aniversario do meu cachorro fido que nasceu em 30 de fevereiro e
287,duvida sobre roubo de celular e desvio de dinheiro via pix apesar do limite alto nao precisa de senha pra isso no nubank precisa de senha pra qualquer transacao via pix pagamento transferencia etc
288,he nubank bandidos fazendo a festa com roubo de celulares e o aplicativo de voces so deixa logar com biometria ou passcode se o malandro pede tem a senha do celular ele rouba toda a minha grana no aplicativo sabia vamos melhorar essa seguranca ai urgente por favor
289,aloadt sobre a thread do nubank geralmente no ato roubo o ladrao pede a senha inclusive destrava na hora pra confirmar passei por isso
290,nubank e seguranca contra golpe e roubo de senha vai ter quando
291,cara esse esquema de seguranca da nubank e muito fraco so precisei da senha do aplicativo e aceso ao email pra entrar na conta no novo aparelho melhora isso ai po
292,comecei a adotar umas praticas de seguranca dos apps de banco depois da terrivel thread do nubank e acabou que eu travei o acesso tao bem travado que agora nao consigo mais abrir os apps financeiros kkkkkk httpstcodkg8kbefsq
293,erre voce mesmo 3 vezes sua senha do cartao do nubank assim voce previamente bloqueia seu cartao me siga para mais dicas de seguranca
294,quero uma feature no nubank que faca com que eu nao tenha acesso a minha conta seguranca em primeiro lugar
295,a thread do nubank desencadeou uma serie de questionamentos um deles nao sai da minha cabeca que e sem a conta google boa parte dos aplicativos nao funciona e logando a conta google voce tem acesso a todo ligar com sso o android em si e uma falha de seguranca
296,eu acho a seguranca do banco do brasil muito boa nao sei em relacao a golpes e essas coisas como eles atendem mas eu nao tiraria meu dinheiro de la pra por no nubank o empresarial deles precisa de varias etapas com senha e qr code pra poder fazer transferencias
297,ei roxinho nubank acho que ja passou da hora de lancar mais protecao para seus usuarios ein taca senha em tudo que eu aceito... quero sentir mais seguranca
298,utilidade publica pra quem tem o roxinho dica de seguranca caso perca o celular ou seja roubado acesse gt httpstcovp8snolayk e clique em login digite seu cpf e sua senha senha pra entrar no aplicativo nao e a senha do cartao a carregar essa tela clique em “estou sem cel” httpstcosgyqeqwzrt
299,por algum motivo o aplicativo nao esta querendo abrir no meu celular fica mandando eu desbloquear meu celular num lupe infinito nao me dando acesso a minha conta
300,o aplicativo tem muito problema e bug faz um mes ja que tento acessar e nao consigo depois que mudaram a forma de entrar dizendo que e protecao extra e so fez piorar
301,a nubank veio piorando muito esses dias agora voce tem que colocar dinheiro no cartao para poder usar alem de sempre ter que colocar senha para ter acesso que as vezes nao funciona e eu acabo ficando sem acesso ao aplicativo
302,amo usar o nubank e pratico de facil acesso interface linda e todas as informacoes encontro nele para sanar minhas duvidas
303,eu esqueci a minha senha para entrar no nubank
304,desde hoje meu aplicativo entra em uma tela falando pra eu colocar a mesma senha do meu celular eu coloco da certo mas volta pra uma tela perguntando se eu quero usar esda opcao e vira um ciclo eterno numa sai desta tela mesmo eu pondo a senha
305,sugerir ou seria obrigar que a senha do aplicativo seja a mesma do aparelho e ser muito sem nocao pra dizer o minimo
306,toda vez que mudo a senha do celular preciso desinstalar o aplicativo porque comeca a dar erro e nao aceita a senha nova
307,aplicativo acusa erro o tempo todo ao tentar entrar com a senha sendo que a senha ta certa tem que ficar desinslando e instalando para da certo
308,pessimo o aplicativo so deixa voce usar se tiver senha de bloqueio no seu celular o aplicativo deveria ter o proprio bloqueio independente do celular
309,depois da atualizacao nao consigo acessar o aplicativo pede a senha do celular e eu coloco e volta pra mesma pagina pedindo novamente a senha
310,nao estou conseguindo acessar a desgraca da conta toda vez que coloco a senha certa volta pra eu repor a senha de novo
311,aplicativo nao esta abrindo depois de inserida a senha ou digital ocorre algum erro e o aplicativo fecha ou as vezes ate faz discagem para a ultima chamada recebida preciso pagar as contas e agora
312,não estou conseguindo abrir meu aplicativo pede a senha do celular e ao inves de abrir fica pedindo a senha denovo
313,a exigencia da senha pin para acesso ao aplicativo me obrigou a resetar o celular falei com o nubank e o atendimento na melhor hipotese so nao sabia como resolver meu problema pois pessoalmente acho que me enrolaram preguica do programador em criar um algoritimo simples de cadastro de senha o tal do banco 100 on line nao da suporte sequer de acesso a conta pelo navegador do computador patetico o nubank vai pagar os juros das minhas contas que atrasaram por impossibilidade de acesso ao aplicativo
314,ta ruim demais usar esse aplicativo eu coloco cpf e senha e na hora de colocar a digital ele reconhece mas fica voltando para a tela da digital e nunca entra na pagina da conta cansei
315,gosto muito da nubank mas ultimamente esta dando muito bug no aplicativo vez ou outra ele sai do aplicativo do nada e quando a gente vai entrar pede o cpf e a senha de acesso do aplicativo mas sempre quando a gente insira os dois da invadindo e isso esta muito chato
316,pessimo aplicativo pede uma maldita senha sempre
317,ta tendo alguns problemas na hora de entrar a gente coloca a senha ou a impressao digital e ele carrega e volta do inicio para colocar novamente e fica nesse processo repetitivo
318,estou com problemas na hora do meu primeiro acesso eu faco o cadastro chego o email falando que fui aprovado e manda eu dar continuidade no aplicativo porem o aplicativo nao funciona fica fica na parte de criar um cadastro novo ou fazer login apenas nao tem opcao para abertura de conta
319,esse aplicativo nem presta so pede senha de celular e depois que pede a senha do aplicativo
